"","nom","urban_fraction"
"1","Aketi",0.000332727821489995
"2","Ango",6.21375378538767e-05
"3","Bili (Bas-Uele)",7.08666148718115e-05
"4","Bondo",0.000759845010229205
"5","Buta",0.00117797458511948
"6","Ganga",0.000528749960400382
"7","Likati",0.000246823452339061
"8","Monga",0.00029529951048973
"9","Poko",0.000199882493916972
"10","Titule",9.80275857577415e-05
"11","Viadana",0.000301219362386928
"12","Aba",0.00031003861808374
"13","Boma Mangbetu",0.000124228276289605
"14","Doruma",6.37156556520041e-05
"15","Dungu",0.000572309198856003
"16","Faradje",1.61486355467889e-05
"17","Gombari",0.000390301139161108
"18","Isiro",0.00547082881815673
"19","Niangara",0.000213911609576165
"20","Pawa",0.00149682138321494
"21","Rungu",0.000307361712932504
"22","Wamba",0.000543443868684317
"23","Makoro",0.00023705320459769
"24","Watsa",0.00265305943642349
"25","Basankusu",0.00052653036626761
"26","Bikoro",0.000520594678424973
"27","Bolenge",0.00118571200846558
"28","Bolomba",5.06122269535212e-05
"29","Bomongo",0.000387161124946643
"30","Djombo",0.000152269268218947
"31","Iboko",0.00022506415941322
"32","Ingende",0.000131012057613919
"33","Irebu",0.000971491915552622
"34","Lilanga Bobangi",3.5912438311081e-05
"35","Lotumbe",0
"36","Lukolela",0.000979226754286741
"37","Makanza",0.000495959231897799
"38","Mampoko",0
"39","Mbandaka",0.0082867898370675
"40","Monieka",2.64948525286082e-05
"41","Ntondo",3.92778343619518e-05
"42","Wangata",0.0510321580260521
"43","Kambove",0.00541750859726195
"44","Kapolowe",0.00452451150819105
"45","Kikula",0.283931142284519
"46","Kilela Balanda",3.97635803875277e-05
"47","Likasi",0.384967809991165
"48","Mitwaba",0.000298996930457491
"49","Mufunga Sampwe",0.000216157669080041
"50","Panda",0.152543042246583
"51","Kafubu",0.000221596609272518
"52","Kamalondo",1
"53","Kampemba",0.755116361106979
"54","Kasenga",0.000756621012117511
"55","Kashobwe",0.000768906462243387
"56","Katuba",0.959482744237797
"57","Kenya",0.135469198913655
"58","Kilwa",0.00121492124938019
"59","Kipushi",0.0104755130672463
"60","Kisanga",0.150852510808968
"61","Kowe",0.649559084005976
"62","Lubumbashi",0.281975788364058
"63","Lukafu",6.22361997687161e-05
"64","Mumbunda",0.405590661674703
"65","Pweto",0.000551255043578362
"66","Ruashi",0.326502267538975
"67","Sakania",0.00207923065809577
"68","Tshamilemba",0.953950190113727
"69","Vangu",0.221617023113793
"70","Bukama",0.00132343819531142
"71","Butumba",0.000321580432585008
"72","Kabondo Dianda",0.00123396028316572
"73","Kinkondja",0.00156775781584206
"74","Lwamba",4.04853216675873e-05
"75","Malemba Nkulu",0.00521566902359812
"76","Mukanga",0.00237104289579696
"77","Mulongo",0.00130312675742714
"78","Baka",0.00809001233955538
"79","Kabongo",0.00153531876094177
"80","Kamina",0.00236779490900218
"81","Kaniama",0.000687241806638882
"82","Kayamba",9.61191642112409e-05
"83","Kinda",9.95846798732744e-05
"84","Kitenge",0.00042564886488549
"85","Songa",0.000140668205951023
"86","Adi",0.00112612179672588
"87","Adja",0.000134665376709354
"88","Angumu",0.00238747057945132
"89","Ariwara",0.0121037713253246
"90","Aru",0.00927352623356065
"91","Aungba",0
"92","Biringi",0
"93","Kambala",0
"94","Laybo",0
"95","Logo",0.00308867898180507
"96","Mahagi",0.00459651702196146
"97","Nyarambe",0.00329024383542639
"98","Rimba",0.000997597741764445
"99","Bambu",0.000409602402215714
"100","Boga",0
"101","Bunia",0.167122096850498
"102","Damas",0
"103","Drodro",0.00149410657958514
"104","Fataki",0.00607933301276635
"105","Gety",5.69485052565409e-05
"106","Jiba",0.00191297570645589
"107","Kilo",0
"108","Komanda",0.000557628681301548
"109","Linga",0.000425267446340914
"110","Lita",0
"111","Lolwa",0
"112","Mambasa",0.000378098722796201
"113","Mandima",0.00105128590099209
"114","Mangala",0.000343398713886681
"115","Mongbwalu",0.00100822743904964
"116","Nia Nia",0.000812021635242298
"117","Nizi",0.0113061278752978
"118","Nyankunde",0
"119","Rethy",0.00478979140529298
"120","Rwampara",0.00460600690652868
"121","Tchomia",0.000258858906612394
"122","Bulape",0.000345370418103769
"123","Dekese",0.000128869076656746
"124","Ilebo",0.0134738684810009
"125","Kakenge",0.00089925337483732
