"","nom","socioeconomic_inequality"
"1","Aketi",0.446605395323982
"2","Ango",0.446573869759218
"3","Bili (Bas-Uele)",0.443734007256776
"4","Bondo",0.446416537418994
"5","Buta",0.446713356160265
"6","Ganga",0.445231176127246
"7","Likati",0.44065374811321
"8","Monga",0.45595328929898
"9","Poko",0.455369202571686
"10","Titule",0.444186718922102
"11","Viadana",0.481682346108773
"12","Aba",0.518215827175369
"13","Boma Mangbetu",0.523984224507872
"14","Doruma",0.493686077193703
"15","Dungu",0.518686077254323
"16","Faradje",0.522268740298787
"17","Gombari",0.526562238126662
"18","Isiro",0.504031949595161
"19","Niangara",0.513174017047773
"20","Pawa",0.516862183122494
"21","Rungu",0.513370525433848
"22","Wamba",0.54307502345018
"23","Makoro",0.547759990104341
"24","Watsa",0.522520435633891
"25","Basankusu",0.379253088493429
"26","Bikoro",0.382452317134584
"27","Bolenge",0.382748792781567
"28","Bolomba",0.380982114311759
"29","Bomongo",0.39454821545189
"30","Djombo",0.375670907224893
"31","Iboko",0.413799932251371
"32","Ingende",0.385248806618269
"33","Irebu",0.380382466051483
"34","Lilanga Bobangi",0.389630542138511
"35","Lotumbe",0.373955092758326
"36","Lukolela",0.368414318495993
"37","Makanza",0.387188818705833
"38","Mampoko",0.381008624993683
"39","Mbandaka",0.381005772860556
"40","Monieka",0.36556820602778
"41","Ntondo",0.401251372954174
"42","Wangata",0.381150140720459
"43","Kambove",0.580845168968573
"44","Kapolowe",0.584540702838172
"45","Kikula",0.583398625988142
"46","Kilela Balanda",0.582802077056592
"47","Likasi",0.583830053462859
"48","Mitwaba",0.584378701599895
"49","Mufunga Sampwe",0.583784249193725
"50","Panda",0.583862465155077
"51","Kafubu",0.584719142959732
"52","Kamalondo",0.583623023979725
"53","Kampemba",0.583776348798238
"54","Kasenga",0.5904406795749
"55","Kashobwe",0.589458507663609
"56","Katuba",0.583405465705807
"57","Kenya",0.583496394641395
"58","Kilwa",0.586938293044471
"59","Kipushi",0.582072804443451
"60","Kisanga",0.58329581744399
"61","Kowe",0.580109069445858
"62","Lubumbashi",0.58380334489663
"63","Lukafu",0.584353910016787
"64","Mumbunda",0.583427432263748
"65","Pweto",0.587432748521981
"66","Ruashi",0.584034777930463
"67","Sakania",0.57327339096118
"68","Tshamilemba",0.583858890988211
"69","Vangu",0.581150798309204
"70","Bukama",0.57408756567662
"71","Butumba",0.576478442388193
"72","Kabondo Dianda",0.575007475956451
"73","Kinkondja",0.575056312420142
"74","Lwamba",0.577355184736147
"75","Malemba Nkulu",0.575813379933601
"76","Mukanga",0.577651821897614
"77","Mulongo",0.579188607052587
"78","Baka",0.574999988079071
"79","Kabongo",0.577522480548896
"80","Kamina",0.574980818644105
"81","Kaniama",0.59184132325455
"82","Kayamba",0.607854400676148
"83","Kinda",0.574109473993926
"84","Kitenge",0.588760837929549
"85","Songa",0.575224203697759
"86","Adi",0.55634051716348
"87","Adja",0.597128524494193
"88","Angumu",0.538118870177785
"89","Ariwara",0.6048873034068
"90","Aru",0.607316181606649
"91","Aungba",0.609750802979512
"92","Biringi",0.594174251382602
"93","Kambala",0.614314306312721
"94","Laybo",0.57333662877405
"95","Logo",0.581937453750227
"96","Mahagi",0.590066986884523
"97","Nyarambe",0.55678633388926
"98","Rimba",0.6085131436423
"99","Bambu",0.621758015665205
"100","Boga",0.585883956767258
"101","Bunia",0.606701624219767
"102","Damas",0.613513794938113
"103","Drodro",0.573318577022004
"104","Fataki",0.588473853107748
"105","Gety",0.586053833437575
"106","Jiba",0.558969622941651
"107","Kilo",0.622878306329664
"108","Komanda",0.626187992851949
"109","Linga",0.57002351429488
"110","Lita",0.591249083010876
"111","Lolwa",0.625232269465297
"112","Mambasa",0.623387971202172
"113","Mandima",0.629848598839547
"114","Mangala",0.610699275701122
"115","Mongbwalu",0.613559009123426
"116","Nia Nia",0.598464134046509
"117","Nizi",0.612203731551605
"118","Nyankunde",0.61354842861761
"119","Rethy",0.581264674920637
"120","Rwampara",0.607460916436191
"121","Tchomia",0.548333810001442
"122","Bulape",0.446861028189218
"123","Dekese",0.446535180161261
"124","Ilebo",0.462935577040958
"125","Kakenge",0.445909149385472
"126","Luebo",0.445765276576005
"127","Mikope",0.471467924569201
"128","Mushenge",0.448285605355161
"129","Mweka",0.446351357129042
"130","Ndjoko Mpunda",0.446978012861961
"131","Banga Lubaka",0.459569578841209
"132","Kalonda Ouest",0.447977424707187
"133","Kamonia",0.481478179809349
"134","Kamwesha",0.446365854942325
"135","Kanzala",0.448896316943256
"136","Kitangwa",0.460177300432916
"137","Mutena",0.467389415087267
"138","Nyanga",0.462958467963675
"139","Tshikapa",0.449091113654595
"140","Bena Leka",0.443699699492076
"141","Bena Tshadi",0.442914557370279
"142","Bilomba",0.442115842263587
"143","Bobozo",0.443194348787923
"144","Bunkonde",0.443847694370057
"145","Demba",0.442391090346029
"146","Dibaya",0.483947095847144
"147","Kananga",0.443362244121943
"148","Katende",0.460752680867013
"149","Katoka",0.442891279206225
"150","Lubondaie",0.466403268317424
"151","Lubunga (Kasaï-Central)",0.488293076734914
"152","Lukonga",0.443233411731365
"153","Mikalayi",0.442615395621239
"154","Muetshi",0.442594125955675
"155","Mutoto",0.444816335419886
