"","nom","socioeconomic_deprivation"
"1","Aketi",0.881825473940055
"2","Ango",0.882878181753736
"3","Bili (Bas-Uele)",0.882151042202152
"4","Bondo",0.880096138925945
"5","Buta",0.882000029087067
"6","Ganga",0.882000029087069
"7","Likati",0.882000029087066
"8","Monga",0.887260548284979
"9","Poko",0.882000029087069
"10","Titule",0.882000029087067
"11","Viadana",0.882000029087064
"12","Aba",0.89458461239495
"13","Boma Mangbetu",0.882000029087065
"14","Doruma",0.914152477593551
"15","Dungu",0.878774772435912
"16","Faradje",0.841088730378363
"17","Gombari",0.867949546001255
"18","Isiro",0.882000029087068
"19","Niangara",0.88200002908707
"20","Pawa",0.882000029087065
"21","Rungu",0.882000029087069
"22","Wamba",0.881997617397944
"23","Makoro",0.851781031998948
"24","Watsa",0.832598365494354
"25","Basankusu",0.882000029087067
"26","Bikoro",0.8815503607813
"27","Bolenge",0.863410135069322
"28","Bolomba",0.87760331914935
"29","Bomongo",0.867003169073769
"30","Djombo",0.882000029087067
"31","Iboko",0.881999681260237
"32","Ingende",0.873858170385186
"33","Irebu",0.871708926716307
"34","Lilanga Bobangi",0.853375792253206
"35","Lotumbe",0.877217089294999
"36","Lukolela",0.855225222721895
"37","Makanza",0.881988743602532
"38","Mampoko",0.877620577065769
"39","Mbandaka",0.855655017077424
"40","Monieka",0.878586952662925
"41","Ntondo",0.881999544124879
"42","Wangata",0.854358541442934
"43","Kambove",0.789953649348204
"44","Kapolowe",0.803068094077676
"45","Kikula",0.786856213499349
"46","Kilela Balanda",0.811982018661491
"47","Likasi",0.786198760303159
"48","Mitwaba",0.868273667291654
"49","Mufunga Sampwe",0.8736775810186
"50","Panda",0.787807774369111
"51","Kafubu",0.784377058296774
"52","Kamalondo",0.761771901358445
"53","Kampemba",0.762796879574841
"54","Kasenga",0.775890731458161
"55","Kashobwe",0.796669526598915
"56","Katuba",0.758059140266411
"57","Kenya",0.758290333331083
"58","Kilwa",0.842322684442855
"59","Kipushi",0.76058708806586
"60","Kisanga",0.757566930192284
"61","Kowe",0.77001898243408
"62","Lubumbashi",0.768245419894462
"63","Lukafu",0.845689778577844
"64","Mumbunda",0.762628518368984
"65","Pweto",0.833117519616579
"66","Ruashi",0.767577785398726
"67","Sakania",0.775620056778322
"68","Tshamilemba",0.76690270742041
"69","Vangu",0.781352584706242
"70","Bukama",0.852200124201327
"71","Butumba",0.875481012126425
"72","Kabondo Dianda",0.859422254817956
"73","Kinkondja",0.873554001626321
"74","Lwamba",0.861898142490197
"75","Malemba Nkulu",0.851661813545889
"76","Mukanga",0.864737602767595
